postcode,lat,lon
2564,150.893,34.001
2565,150.84,33.9901
2566,150.839,34.0294
2567,150.746,34.0515
2568,150.712,34.1493
2569,150.712,34.223
2570,150.577,34.0287
2571,150.624,34.1944
2572,150.546,34.1855
2573,150.587,34.2203
2574,150.594,34.3214
2575,150.402,34.3968
2576,150.52,34.5201
2577,150.37,34.6166
2578,150.31,34.6956
2579,150.102,34.7094
2580,149.765,34.595
2581,149.335,34.7987
2582,148.816,34.918
2583,149.32,34.1428
2584,148.585,34.6918
2585,148.518,34.5595
2586,148.782,34.3288
2587,148.372,34.6087
2588,148.178,34.56
2590,147.947,34.709
2594,148.176,34.2839
2600,149.124,35.3086
2601,149.112,35.2801
2602,149.146,35.2509
2603,149.126,35.3396
2604,149.148,35.3292
2605,149.077,35.3268
2606,149.094,35.3484
2607,149.099,35.3752
2608,149.124,35.3086
2609,149.172,35.2949
2610,149.172,35.2949
2611,148.848,35.3147
2612,149.138,35.2801
2614,149.057,35.2554
2615,149.027,35.214
2616,148.986,35.2364
2617,148.986,35.2364
2618,149.012,35.1325
2619,149.198,35.3828
2620,148.959,35.4311
2621,149.45,35.4806
2622,149.872,35.4977
2623,149.471,35.5822
2624,148.36,36.4601
2625,148.259,36.5377
2626,149.159,35.9235
2627,148.584,36.4448
2628,148.825,36.347
2630,149.131,36.3363
2631,149.326,36.519
2632,149.268,36.9696
2633,148.715,36.8857
2640,146.99,36.0197
2641,146.921,36.0327
2642,146.735,35.7712
2643,146.64,35.9257
2644,147.388,35.7079
2645,146.287,35.3271
2646,146.302,35.6851
2647,145.973,35.8701
2648,142.258,33.3339
2649,148.091,35.6083
2650,147.431,35.1983
2651,147.465,35.1617
2652,145.768,33.9461
2653,148.039,35.7856
2655,147.055,35.2358
2656,146.767,35.3037
2658,146.999,35.553
2659,146.854,35.6781
2660,147.057,35.7034
2661,147.282,35.156
2663,147.692,34.9243
2665,146.8,34.3329
2666,147.592,34.4719
2668,147.445,34.1001
2669,146.584,33.7026
2671,147.293,33.813
2672,146.28,33.3197
2675,145.439,33.4607
2677,147.431,35.1983
2678,147.431,35.1983
2680,145.931,34.208
2681,146.157,34.1499
2684,146.157,34.1499
2700,146.295,34.8655
2701,147.14,34.7723
2702,147.015,34.8971
2703,146.377,34.6307
2705,146.305,34.487
2706,145.947,34.5411
2707,145.809,34.7943
2710,144.814,35.4113
2711,144.717,34.2413
2712,145.825,35.737
2713,145.479,35.541
2714,145.484,35.7619
2715,143.588,34.115
2716,145.728,35.2386
2717,142.06,34.0934
2720,148.406,35.5046
2721,147.72,34.042
2722,148.102,34.9416
2725,147.807,34.4363
2726,148.322,34.7788
2727,148.358,34.9874
2729,147.936,35.2231
2730,148.056,35.5229
2731,144.658,35.9142
2732,144.199,35.5391
2733,143.956,35.0224
2734,143.416,34.8666
2735,143.441,35.1224
2736,143.41,34.9833
2737,142.838,34.6
2738,142.223,34.1673
2739,142.185,34.1629
2745,150.663,33.8639
2747,150.747,33.7221
2748,150.726,33.8087
2749,150.69,33.6841
2750,150.678,33.7514
2751,150.678,33.7514
2752,150.586,33.9223
2753,150.676,33.6247
2754,150.731,33.5558
2756,150.921,33.4954
2757,150.692,33.5543
2758,150.577,33.4815
2759,150.766,33.8337
2760,150.781,33.7433
2761,150.848,33.7401
2762,150.876,33.7018
2763,150.893,33.7304
2765,150.857,33.6424
2766,150.829,33.7947
2767,150.87,33.7681
2768,150.929,33.7366
2770,150.817,33.7591
2773,150.623,33.7688
2774,150.616,33.7361
2775,150.933,33.3393
2776,150.555,33.6617
2777,150.607,33.6821
2778,150.489,33.728
2779,150.464,33.7254
2780,150.442,33.7613
2782,150.379,33.7251
2783,150.433,33.7257
2784,150.413,33.7297
2785,150.223,33.6818
2786,150.352,33.5388
2787,150.042,33.9863
2790,150.304,33.3767
2791,149.165,33.6137
2792,149.082,33.6167
2793,148.891,33.8245
2794,148.683,33.9087
2795,149.627,33.5219
2797,148.988,33.6168
2798,149.165,33.4564
2799,149.247,33.5811
2800,149.039,33.2785
2803,148.535,34.1571
2804,148.658,33.482
2805,148.424,33.6424
2806,148.326,33.3971
2807,148.57,34.034
2808,149.023,33.9657
2809,148.419,33.9682
2810,147.933,33.8264
2820,148.966,32.5002
2821,148.058,32.2488
2823,147.908,32.004
2824,147.732,31.0481
2825,147.29,31.6408
2827,148.555,31.5692
2828,148.539,31.2057
2829,148.144,30.7663
2830,148.719,32.1736
2831,146.68,31.4254
2832,148.047,29.7975
2833,148.408,29.4364
2834,147.976,29.4482
2835,144.915,31.3869
2836,143.308,31.2535
2839,146.919,29.8339
2840,144.534,30.0462
2842,149.079,31.7342
2843,149.748,31.8457
2844,149.358,31.8444
2845,150.053,33.401
2846,150.095,33.0469
2847,149.969,33.3947
2848,149.977,32.9
2849,150.002,32.7264
2850,149.825,32.5849
2852,149.52,32.3003
2864,148.694,33.3257
2865,148.668,33.1803
2866,148.904,33.0394
2867,148.641,32.9215
2868,148.571,32.7434
2869,148.227,32.6124
2870,148.21,33.0294
2871,147.827,33.4377
2873,147.342,32.2394
2874,147.549,32.6244
2875,147.638,32.9296
2876,147.773,33.1229
2877,145.997,32.7631
2878,144.097,32.7668
2879,142.723,32.4354
2880,142.347,30.9936
2898,159.085,31.5554
2900,149.063,35.4169
2901,149.063,35.4169
2902,149.049,35.3892
2903,149.088,35.4013
2904,149.113,35.4048
2905,149.111,35.4346
2906,149.092,35.4538
2911,149.131,35.22
2912,149.16,35.1782
2913,149.104,35.1902
2914,149.127,35.1763
3000,144.964,37.813
3001,144.964,37.813
3002,144.981,37.8177
3003,144.948,37.8105
3004,144.975,37.8394
3005,144.951,37.8241
3006,144.958,37.8269
3008,144.981,37.8177
3011,144.908,37.8042
